"GageID","ToolID","PartNo","Description","Custodian","CurrentStatus","WithCustodian","InToolControl","InCalibration","OutOfService","CalibrationStatus","SpecificDate","ScheduleDays","ScheduleDate","NoCalibrationReq","CalibrationDue","Location","Notes","Lab","Path","CertificateNotes","CertificateProcedure","Received","Left","General","SubmittedTo","SubmittedBy","DateCal"
21,"CI-124","Precision Digital PD546B-00","Temp. Controller","Shop",,,,,,1,,365,2/20/2024 0:00:00,0,2/19/2025 0:00:00,"Chemical Conversion & Heat Treat Area","Precision Digital","National Calibration","K:\Quality - Records\7150 - Calibration\Calibration\CI-124 Temp Controller\CI - 124 - 668296.pdf",,,,,,,,
22,"CI-155","Omega CT87LF","Temperature Chart recorder","Shop",,,,,,1,4/6/2021 0:00:00,365,2/20/2024 0:00:00,0,2/19/2025 0:00:00,"Shop","Freezer","National Calibration","K:\Quality - Records\7150 - Calibration\Calibration\CI-155 Temp Chart Recorder\CI-155 - 668272.pdf",,,,,,,,
23,"CI-160","Omega CT585B","Temperature Chart Recorder","Shop",,,,,,2,,365,2/13/2023 0:00:00,1,,"Paint","Paint 
REPLACED BY CI-334
","National Calibration","K:\Quality - Records\7150 - Calibration\Calibration\CI-160 Temp Chart Recorder\CI-160 - 668279.pdf",,,,,,,,
24,"CI-190","Zeiss Contura G2","CMM","QA",0,3/25/2025 0:00:00,,,,1,7/19/2021 0:00:00,365,3/25/2025 0:00:00,0,3/25/2026 0:00:00,"QA","Requires annual certification

","Zeiss","K:\Quality - Records\7150 - Calibration\Calibration\CI-190 Contura G2 CMM\CMM Certificate of Calibration March2023.pdf",,,,,,,,
25,"CI-148","Model 51 II","Digital Thermometer","QA",0,11/30/2022 0:00:00,,,,2,,365,1/1/2222 0:00:00,1,,"Scrapped","Fluke 51 ll, S/N 92300014
Removed from service.","National Calibration","K:\Scans\Calibration\CI-148 Digital Thermometer\CI-148 - 210626.pdf",,,,,,,,
26,"CI-149","Honeywell UDC2500","Temp. Controller","Shop",,,,,,1,,365,2/20/2024 0:00:00,0,2/19/2025 0:00:00,"Paint","Paint","National Calibration","K:\Quality - Records\7150 - Calibration\Calibration\CI-149 Temp Controller\CI-149 - 668271.pdf",,,,,,,,
27,"CI-235","Eurotherm Nanodac","Temp. Recorder Controller","Shop",,,,,,1,6/26/2021 0:00:00,365,2/20/2024 0:00:00,0,2/19/2025 0:00:00,"Chemical Conversion & Heat Treat Area","Eurotherm
Chem room","National Calibration","K:\Quality - Records\7150 - Calibration\Calibration\CI-235 Temp Controller\CI-235 - 668297.pdf",,,,,,,,
28,"CI-306","n/a","Thread gage, plug, go/no go 8-32 UNC-2B","QA",0,10/17/2023 0:00:00,,,,1,,365,11/6/2024 0:00:00,0,11/6/2025 0:00:00,"GRC",,"Western States","K:\Quality - Records\7150 - Calibration\Calibration\CI-306 Thread gage 8-32 UNC-2B\CI-306 - 231005.pdf",,,,,,,,
29,"CI-307","n/a","Thread gage, plug, go/no go, 0-80 UNF-2B","QA",0,5/6/2025 0:00:00,,,,1,,365,4/17/2024 0:00:00,0,4/17/2025 0:00:00,"GRC",,"Western States","K:\Quality - Records\7150 - Calibration\Calibration\CI-307 Thread gage 0-80 UNF-2B\Certificate 856248.pdf",,,,,,,,
30,"CI-145","52-008-024","Caliper, Dial, 24""","QA",,,,,,1,,365,11/6/2024 0:00:00,0,11/6/2025 0:00:00,"QA","Fowler","Western States Calibration","K:\Quality - Records\7150 - Calibration\Calibration\CI-145 Dial Caliper, 24 inch\CI-145 - 231005.pdf",,,,,,,,
31,"CI-277","500-193","Caliper, digital, 12""","QA",,,,,,1,,365,4/26/2024 0:00:00,0,4/26/2025 0:00:00,"QA","Mitutoyo","Western States Calibration","K:\Quality - Records\7150 - Calibration\Calibration\CI-277 Caliper, 12 inch\Certificate 880265.pdf",,,,,,,,
32,"CI-141","505-677","Caliper, Dial, 12""","Brake Area",0,4/24/2025 0:00:00,,,,1,,365,4/18/2024 0:00:00,0,4/18/2025 0:00:00,"Brake","Mitutoyo","Western States Calibration","K:\Quality - Records\7150 - Calibration\Calibration\CI-141 Caliper, dial, 12\CI-141 - 231005.pdf",,,,,,,,
33,"CI-308","505-645-50","Caliper, dial, 12"" - reference only","Shop",,,,,,2,,365,1/1/2222 0:00:00,1,,"Somphane ","Employee owned
Reference only","Western States Calibration",,,,,,,,,
34,"CI-158","","Caliper, dial, 24""","QA",0,4/24/2025 0:00:00,,,,1,,365,4/24/2025 0:00:00,0,4/24/2026 0:00:00,"QA Techician Lab","

","Western States Calibration","K:\Scans\Calibration\CI-158 Caliper, 24 inch\CI-158 - 220416.pdf",,,,,,,,
35,"CI-138","505-720","Caliper, dial, 12""","Shop",,,,,,1,,365,11/6/2024 0:00:00,0,11/6/2025 0:00:00,"Quarantine waiting cal","Mitutoyo

Punch","Western States Calibration","K:\Quality - Records\7150 - Calibration\Calibration\CI-138 Caliper, 12 inch\CI-138 - 2310005.pdf",,,,,,,,
36,"CI-132-TC1","n/a","Temperature Probe, Type K - cal not required","Shop",,,,,,2,,365,1/1/2222 0:00:00,1,,"Despatch Oven","The Probeused for the nanodac Recorder Controller","National Calibration","K:\Scans\Calibration\CI-132-TC1 Thermocouple\CI-132-TC1 220708.pdf",,,,,,,,
37,"CI-164-TC1","n/a","Temperature Probe, Type K - cal not required","Shop",0,4/7/2021 0:00:00,,,,2,,365,1/1/2222 0:00:00,1,,"Despatch Oven","For Digital Data Recorder - Does not require further calibration","N/A",,,,,,,,,
38,"CI-124-TC3","n/a","Temperature Probe, Type J - cal not required","Shop",,,,,,2,,365,1/1/2222 0:00:00,1,,"Grieve Oven","Lower Probe","National Calibration","K:\Scans\Calibration\CI-124-TC3 Thermocouple\CI-124-TC3 220708.pdf",,,,,,,,
40,"CI-151","Honeywell DR4300","Temp. Chart Recorder","Shop",,,,,,1,,365,2/20/2024 0:00:00,0,2/19/2025 0:00:00,"Paint",,"National Calibration","K:\Quality - Records\7150 - Calibration\Calibration\CI-151 Temp Chart Recorder\CI-151 - 668275.pdf",,,,,,,,
41,"CI-136","DaqLab 2005","Data Logger","QA",3,,,7/8/2021 0:00:00,2/4/2022 0:00:00,2,,92,11/4/2021 0:00:00,1,,"QA Techician Lab","S/N 802736","Calibration Solutions","K:\Scans\Calibration\CI-136 Data Logger\CI-136 - Data Logger DaqLab 2005 - 210708.pdf","NIST","NAV 17-20ST-232 02/17",,,,,,
42,"CI-309","n/a","Thread gage, plug, go/no go, 8-32 UNC-2B STI","QA",0,12/1/2022 0:00:00,,,,2,,365,1/1/2222 0:00:00,1,,"Scrapped","OUT OF TOLERANCE REMOVED FROM SERVICE","Western States","K:\Scans\Calibration\CI-309 Thread Gage 8-32 UNC-2B STI\CI-309 - 231005.pdf",,,,,,,,
43,"CI-258","n/a","Thread gage, plug, go/no go, 6-32 UNJC-3B","QA",1,2/13/2025 0:00:00,2/13/2026 0:00:00,,,1,,365,2/28/2025 0:00:00,0,2/28/2027 0:00:00,"QA",,"Western States","K:\Quality - Records\7150 - Calibration\Calibration\CI-258 Thread Plug, 6-32 UNJC-3B\Certificate 868568.pdf",,,,,,,,
44,"CI-221","n/a","Thread gage, plug, go/no go, 1/4-20 UNC-2B STI","QA",,,,,,1,,365,4/29/2024 0:00:00,0,4/29/2025 0:00:00,"GRC",,"Western States","K:\Quality - Records\7150 - Calibration\Calibration\CI-221 Thread Plug, 14-20 UNC-2B\Certificate 856253.pdf",,,,,,,,
45,"CI-081","n/a","Thread gage, plug, go/nogo, 7/16-20 UNF-2B","QA Cabinet",0,3/13/2025 0:00:00,,,,1,,365,3/7/2025 0:00:00,0,3/7/2026 0:00:00,"QA Cabinet","","Western States","K:\Quality - Records\7150 - Calibration\Calibration\CI-081 Thread Plug, 716-20 UNF-2B\Certificate 868570.pdf",,,,,,,,
46,"CI-218","n/a","Thread gage, ring, no go, 4-40 UNC-2A","QA",0,12/1/2022 0:00:00,,,,1,,365,1/16/2024 0:00:00,0,1/15/2025 0:00:00,"GRC",,"Western States","K:\Quality - Records\7150 - Calibration\Calibration\CI-218 Thread Ring, 4-40 UNC-2A, No Go\Certificate 868573.pdf",,,,,,,,
47,"CI-288","n/a","Thread gage, ring, go, 4-40UNC-2A","QA",0,2/16/2023 0:00:00,,,,1,,365,2/16/2025 0:00:00,0,2/16/2026 0:00:00,"GRC",,"Western States","K:\Quality - Records\7150 - Calibration\Calibration\CI-288 Thread Ring, 4-40 UNC-2A, Go\Certificate 868574.pdf",,,,,,,,
48,"CI-310","Extech 421502","Digital thermometer, K/J","Shop",0,7/12/2021 0:00:00,,,,1,6/24/2021 0:00:00,365,2/20/2024 0:00:00,0,2/19/2025 0:00:00,"QA Techician Lab","Extech
serial #20000879
Calibration of this device is awaiting cal expiration of CI-148, at which time this thermometer will replace CI-148.","National Calibration","K:\Quality - Records\7150 - Calibration\Calibration\CI-310 Digital Thermometer\CI-310 - 668299.pdf",,,,,,,,
49,"CI-289","1600A","Durometer gage","QA",0,12/1/2022 0:00:00,,,,2,,,1/1/2222 0:00:00,1,,"Scrapped","Rex Co.
Taken out of service. Was used for checking the Wet Adhesion Roller and is no longer used for this purpose.","Western States",,,,,,,,,
50,"CI-078","PA-1411","Roller for wet adhesion","QA",,,,,,2,,365,1/1/2222 0:00:00,1,,"Missing","Gardco","Western States","K:\Scans\Calibration\CI-078 Gardco Roller\CI-078 - 20220430.pdf",,,,,,,,
51,"CI-056","BRIX30","0-30% solids (Brix) Scale #1375301S","Shop",,,,,,2,,365,1/1/2222 0:00:00,1,,"Quarantine - cal before use",,"Christensen Industries","K:\Scans\Calibration\CI-056 Handheld Refractometer\CI-056 - Refractometer - 220215.pdf","Reichert 137530L0 Instructions

BRIX Calibration Standard Fluids
• Dist Water (0°)
• 7.5° Solution
• 15° Solution

• Allowable Tolerances. ±0.2°",,,,,,,
52,"CI-311","n/a","Thread gage, plug, go/no go,10-32 UNF-2B STI","QA",,,,,,2,,365,1/1/2222 0:00:00,1,,"Scrapped","OUT OF TOLERANCE REMOVED FROM SERVICE","Vermont Gage","K:\Scans\Calibration\CI-311 Thread Gage, 10-32 UNC-2B, STI\Scan2021-05-23_132437.pdf",,,,,,,,
53,"CI-312","n/a","Thread gage, plug, go/no go, 4-40 UNC-2B STI","QA",0,12/1/2022 0:00:00,,,,2,,365,1/1/2222 0:00:00,1,,"Scrapped","OUT OF TOLERANCE REMOVED FROM SERVICE","Vermont Gage","K:\Scans\Calibration\CI-312 Thread gage, 4-40 UNC-2B STI\CI-312 - 231005.pdf",,,,,,,,
